hhnum,k9,k8,k7,k6,k5,k4,k3,k2,k1
106743,,,,,,,,,
106747,,,,,,,,,
106750,,,,,,,,,
106766,,,,,,,,,
106772,,,,,,,,,
106776,,,,,,,,,
106781,,,,,,,,,
106782,,,,,,,,,
106784,,,,,,,,,
106796,,,,,,,,,
106802,,,,,,,,,
106804,,,,,,,,,
106805,,,,,,,,,
106806,,,,,,,,,
106813,,,,,,,,,
106816,,,,,,,,,
106838,1,1,1,1,1,1,1,1,1
106853,2,2,2,2,2,2,2,2,1
106854,,,,,,,,,
106862,,,,,,,,,
106888,,,,,,,,,
106896,1,1,1,1,1,1,1,1,1
106912,,,,,,,,,
106916,,,,,,,,,
106917,2,2,2,2,2,2,2,2,1
106920,,,,,,,,,
106934,,,,,,,,,
106973,,,,,,,,,
106975,,,,,,,,,
106981,,,,,,,,,
106983,,,,,,,,,
107002,,,,,,,,,
107010,,,,,,,,,
107011,,,,,,,,,
107017,,,,,,,,,
107019,,,,,,,,,
107021,,,,,,,,,
107022,,,,,,,,,
107026,,,,,,,,,
107042,,,,,,,,,
107045,,,,,,,,,
107047,,,,,,,,,
107055,,,,,,,,,
107069,,,,,,,,,
107071,,,,,,,,,
107078,,,,,,,,,
107118,3,3,3,3,3,3,3,2,1
107123,,,,,,,,,
107124,,,,,,,,,
107125,,,,,,,,,
107141,,,,,,,,,
107174,,,,,,,,,
107182,,,,,,,,,
107187,,,,,,,,,
107190,5,5,5,5,5,4,1,1,1
107195,,,,,,,,,
107205,,,,,,,,,
107220,,,,,,,,,
107226,,,,,,,,,
107236,,,,,,,,,
107259,,,,,,,,,
107260,1,1,1,1,1,1,1,1,1
107263,,,,,,,,,
107265,,,,,,,,,
107279,,,,,,,,,
107284,,,,,,,,,
107296,,,,,,,,,
107302,,,,,,,,,
107304,,,,,,,,,
107310,,,,,,,,,
107311,1,1,1,1,1,1,1,1,1
107314,1,1,1,1,1,1,1,1,1
107323,,,,,,,,,
107330,,,,,,,,,
107331,9,8,8,5,5,4,1,1,1
107335,,,,,,,,,
107341,,,,,,,,,
107343,,,,,,,,,
107388,2,2,2,2,2,2,2,2,1
107395,,,,,,,,,
107400,,,,,,,,,
107410,,,,,,,,,
107411,,,,,,,,,
107412,4,4,4,4,4,4,1,1,1
107414,,,,,,,,,
107416,1,1,1,1,1,1,1,1,1
107423,2,2,2,2,2,2,2,2,1
107435,,,,,,,,,
107444,,,,,,,,,
107455,,,,,,,,,
107462,,,,,,,,,
107463,,,,,,,,,
107478,,,,,,,,,
107488,,,,,,,,,
107520,,,,,,,,,
107522,,,,,,,,,
107524,,,,,,,,,
107543,,,,,,,,,
107546,,,,,,,,,
107555,,,,,,,,,
107557,,,,,,,,,
107561,,,,,,,,,
107568,,,,,,,,,
107573,,,,,,,,,
107586,,,,,,,,,
107589,,,,,,,,,
107603,,,,,,,,,
107604,,,,,,,,,
107613,,,,,,,,,
107619,,,,,,,,,
107621,,,,,,,,,
107627,,,,,,,,,
107632,1,1,1,1,1,1,1,1,1
107638,,,,,,,,,
107641,,,,,,,,,
107647,,,,,,,,,
107653,,,,,,,,,
107656,,,,,,,,,
107661,,,,,,,,,
107662,,,,,,,,,
107666,,,,,,,,,
107671,,,,,,,,,
107678,,,,,,,,,
107681,,,,,,,,,
107693,,,,,,,,,
107698,7,7,6,6,3,3,3,2,1
107699,,,,,,,,,
107710,1,1,1,1,1,1,1,1,1
107712,,,,,,,,,
107713,,,,,,,,,
107730,,,,,,,,,
107735,,,,,,,,,
107737,,,,,,,,,
107749,2,2,2,2,2,2,2,2,1
107754,,,,,,,,,
107770,,,,,,,,,
107783,,,,,,,,,
107785,,,,,,,,,
107789,,,,,,,,,
107793,,,,,,,,,
107794,,,,,,,,,
107795,,,,,,,,,
107799,,,,,,,,,
107802,,,,,,,,,
107810,,,,,,,,,
107815,,,,,,,,,
107819,,,,,,,,,
107826,,,,,,,,,
107828,,,,,,,,,
107829,,,,,,,,,
107836,3,3,3,3,3,3,3,2,1
107851,,,,,,,,,
107866,1,1,1,1,1,1,1,1,1
107885,,,,,,,,,
107888,,,,,,,,,
107892,,,,,,,,,
107909,,,,,,,,,
107923,,,,,,,,,
107925,,,,,,,,,
107933,,,,,,,,,
107937,,,,,,,,,
107939,,,,,,,,,
107946,,,,,,,,,
107957,1,1,1,1,1,1,1,1,1
107966,,,,,,,,,
107974,,,,,,,,,
107977,,,,,,,,,
107984,,,,,,,,,
107986,,,,,,,,,
107996,,,,,,,,,
108007,,,,,,,,,
108009,5,5,5,5,5,4,1,1,1
108023,,,,,,,,,
108034,,,,,,,,,
108035,,,,,,,,,
108041,,,,,,,,,
108045,,,,,,,,,
108047,,,,,,,,,
108052,,,,,,,,,
108059,,,,,,,,,
108087,,,,,,,,,
108091,,,,,,,,,
108103,,,,,,,,,
108106,,,,,,,,,
108115,,,,,,,,,
108120,,,,,,,,,
108123,,,,,,,,,
108138,,,,,,,,,
108142,,,,,,,,,
108150,,,,,,,,,
108154,,,,,,,,,
108165,,,,,,,,,
108172,,,,,,,,,
108176,,,,,,,,,
108195,2,2,2,2,2,2,2,2,1
108212,,,,,,,,,
108213,,,,,,,,,
108221,,,,,,,,,
108228,2,2,2,2,2,2,2,2,1
108235,,,,,,,,,
108236,,,,,,,,,
108239,,,,,,,,,
108244,,,,,,,,,
108266,,,,,,,,,
108282,,,,,,,,,
108283,,,,,,,,,
108294,,,,,,,,,
108300,,,,,,,,,
108302,,,,,,,,,
108309,,,,,,,,,
108316,,,,,,,,,
108320,,,,,,,,,
108327,,,,,,,,,
108329,,,,,,,,,
