hhnum,usdafoodcat4,grams,totitemexp,price_per_100g,num_milk_types
111893,1004.0,3904.0,1.95,0.049948770491803275,2
111942,1002.0,3904.0,2.19,0.05609631147540983,2
111942,1008.0,3916.8,2.19,0.05591299019607843,2
111971,1002.0,0.0,3.33,,2
111971,1004.0,7808.0,6.78,0.08683401639344263,2
112051,1004.0,2928.0,4.99,0.17042349726775957,2
112051,1006.0,1952.0,2.69,0.13780737704918034,2
112204,1004.0,4880.0,5.83,0.11946721311475411,2
112204,1008.0,3916.8,3.99,0.10186887254901962,2
112281,1002.0,976.0,1.5,0.15368852459016394,3
112281,1004.0,0.0,5.96,,3
112281,1008.0,0.0,-996.0,,3
112320,1002.0,756.0,1.76,0.2328042328042328,2
112320,1004.0,7808.0,9.08,0.11629098360655737,2
112341,1004.0,7808.0,5.18,0.06634221311475409,2
112341,1006.0,0.0,1.42,,2
112391,1002.0,756.0,1.98,0.2619047619047619,2
112391,1006.0,3904.0,3.79,0.09707991803278689,2
112396,1002.0,3904.0,2.69,0.06890368852459017,2
112396,1004.0,11712.0,7.77,0.06634221311475409,2
112477,1004.0,3904.0,2.79,0.07146516393442623,2
112477,1008.0,7833.6,5.58,0.07123161764705882,2
112482,1002.0,0.0,2.18,,2
112482,1004.0,0.0,3.18,,2
112607,1002.0,3904.0,3.69,0.09451844262295081,2
112607,1004.0,0.0,1.99,,2
112644,1002.0,1952.0,1.34,0.06864754098360656,3
112644,1004.0,3904.0,3.52,0.09016393442622951,3
112644,1008.0,1958.4,1.33,0.0679125816993464,3
112664,1004.0,3904.0,2.23,0.05712090163934426,2
112664,1006.0,7808.0,5.38,0.06890368852459017,2
112725,1004.0,7808.0,0.0,,2
112725,1006.0,3904.0,4.33,0.11091188524590165,2
112735,1004.0,3904.0,1.67,0.04277663934426229,2
112735,1008.0,3916.8,1.67,0.04263684640522875,2
112777,1002.0,3904.0,2.79,0.07146516393442623,2
112777,1004.0,3904.0,2.79,0.07146516393442623,2
112807,1006.0,0.0,3.59,,2
112807,1008.0,0.0,2.43,,2
112831,1004.0,3904.0,3.99,0.10220286885245901,2
112831,1006.0,3904.0,3.03,0.07761270491803278,2
112832,1004.0,0.0,4.0,,2
112832,1006.0,3904.0,3.89,0.09964139344262296,2
112861,1002.0,3904.0,3.73,0.09554303278688525,2
112861,1004.0,0.0,3.0,,2
112911,1002.0,3904.0,2.49,0.06378073770491804,2
112911,1004.0,0.0,2.49,,2
112931,1002.0,3904.0,3.69,0.09451844262295081,2
112931,1006.0,12688.0,5.34,0.04208701134930643,2
113027,1002.0,1020.5999999999999,3.87,0.3791887125220459,2
113027,1004.0,3904.0,3.69,0.09451844262295081,2
113145,1004.0,1952.0,0.0,,2
113145,1006.0,3904.0,3.0,0.07684426229508197,2
113174,1004.0,3904.0,3.18,0.08145491803278689,2
113174,1008.0,3916.8,3.18,0.08118872549019608,2
113216,1004.0,1952.0,1.89,0.09682377049180327,2
113216,1006.0,1952.0,2.49,0.1275614754098361,2
113259,1002.0,3904.0,3.58,0.09170081967213115,2
113259,1008.0,5875.200000000001,5.57,0.09480528322440086,2
113267,1002.0,7808.0,5.96,0.07633196721311475,2
113267,1004.0,0.0,3.99,,2
113386,1002.0,3904.0,0.0,,2
113386,1004.0,3904.0,0.0,,2
113412,1002.0,756.0,1.76,0.2328042328042328,2
113412,1004.0,3904.0,3.48,0.08913934426229508,2
113427,1002.0,11712.0,11.53,0.09844603825136611,2
113427,1004.0,0.0,0.79,,2
113489,1002.0,1958.4,3.98,0.2032271241830065,2
113489,1006.0,15616.0,23.47,0.15029456967213115,2
113825,1002.0,6832.0,9.16,0.13407494145199061,2
113825,1004.0,1952.0,2.59,0.13268442622950818,2
113930,1002.0,2230.2,5.1,0.22867904223836427,2
113930,1004.0,0.0,3.89,,2
113945,1004.0,3904.0,4.36,0.11168032786885247,2
113945,1008.0,3916.8,4.36,0.11131535947712418,2
114013,1002.0,3904.0,3.79,0.09707991803278689,2
114013,1004.0,3904.0,2.59,0.06634221311475409,2
114068,1002.0,3904.0,2.99,0.07658811475409837,2
114068,1004.0,7808.0,5.98,0.07658811475409837,2
114188,1004.0,3904.0,0.0,,3
114188,1006.0,1952.0,4.79,0.24538934426229508,3
114188,1008.0,1958.4,3.49,0.17820669934640523,3
114235,1002.0,7808.0,7.98,0.10220286885245901,2
114235,1004.0,3904.0,3.25,0.08324795081967212,2
114358,1002.0,4584.4,4.63,0.10099467760230348,2
114358,1004.0,0.0,8.66,,2
114361,1002.0,976.0,3.19,0.32684426229508196,2
114361,1004.0,0.0,8.17,,2
114367,1002.0,3904.0,2.39,0.061219262295081976,2
114367,1004.0,3904.0,3.0,0.07684426229508197,2
114494,1004.0,7808.0,5.67,0.07261782786885246,2
114494,1006.0,1952.0,2.55,0.13063524590163933,2
114541,1002.0,3024.0,6.97,0.230489417989418,2
114541,1008.0,7833.6,4.18,0.05335988562091503,2
114641,1006.0,3904.0,2.9,0.0742827868852459,2
