hhnum,usdafoodcat4,grams,totitemexp,price_per_100g,price_source,num_milk_types
100810,1006,0.0,0.0,0.08913934426229508,cell,1
100810,1008,0.0,0.0,0.08552900326797384,cell,1
100816,1002,0.0,0.0,0.11385758196721311,cell,1
100816,1004,0.0,0.0,0.09528688524590163,cell,1
100816,1006,7808.0,3.98,0.05097336065573771,observed,1
100816,1008,0.0,0.0,0.08833741830065359,cell,1
100841,1002,0.0,0.0,0.09682377049180327,cell,1
100841,1004,3904.0,2.98,0.07633196721311475,observed,1
100841,1006,0.0,0.0,0.08913934426229508,cell,1
100841,1008,0.0,0.0,0.08552900326797384,cell,1
100843,1002,0.0,0.0,0.04021516393442623,cell,1
100843,1004,453.59,2.85,0.6283207301748276,observed,1
100843,1006,0.0,0.0,0.06890368852459017,cell,1
100843,1008,0.0,0.0,0.06969975490196079,cell,1
100845,1002,0.0,0.0,0.10578893442622951,cell,1
100845,1004,3904.0,2.48,0.06352459016393443,observed,1
100845,1006,0.0,0.0,0.09554303278688525,cell,1
100845,1008,0.0,0.0,0.09395424836601307,cell,1
100857,1002,0.0,0.0,0.11385758196721311,cell,1
100857,1004,0.0,0.0,0.09528688524590163,cell,1
100857,1006,0.0,0.0,0.15317622950819673,cell,1
